
实验结果：

算法                            upgrade               precompile                  contract
  ━━━━━━━━━━━━━━━━  ━━━━━━━━━━━━━━━━━━━━━━━  ━━━━━━━━━━━━━━━━━━━━━━━  ━━━━━━━━━━━━━━━━━━━━━━━━
   Add                1.078 ms / 25408 gas     1.194 ms / 24739 gas      1.013 ms / 22026 gas
  ────────────────  ───────────────────────  ───────────────────────  ────────────────────────
   Sha256             0.964 ms / 25801 gas     0.983 ms / 25156 gas      1.002 ms / 23086 gas
  ────────────────  ───────────────────────  ───────────────────────  ────────────────────────
   Blake2bSum256      0.894 ms / 25801 gas     0.860 ms / 25156 gas     1.564 ms / 113059 gas
  ────────────────  ───────────────────────  ───────────────────────  ────────────────────────
   Pbkdf2Sha256       1.046 ms / 48522 gas     1.038 ms / 52880 gas      1.574 ms / 93643 gas
  ────────────────  ───────────────────────  ───────────────────────  ────────────────────────
   Dh2048Secret      1.024 ms / 226586 gas    0.958 ms / 251877 gas     2.375 ms / 382001 gas
  ────────────────  ───────────────────────  ───────────────────────  ────────────────────────
   PedersenCommit    1.245 ms / 225695 gas    1.079 ms / 236863 gas     5.514 ms / 868629 gas
  ────────────────  ───────────────────────  ───────────────────────  ────────────────────────
   SchnorrVerify     2.663 ms / 229437 gas    3.235 ms / 286970 gas    8.017 ms / 9527269 gas
