round,algorithm,upgrade_name,node_id,role,rpc_url,receipt_block,completion_block,submit_to_receipt_ms,receipt_to_complete_ms,submit_to_complete_ms,validation_call_ms,decoded_result,expected_result,completed,timed_out,error
1,Add,AddLatency001,node1,signer,http://127.0.0.1:8761,12,12,12194.588265,38.755634,12233.343899,35.298945,200,200,true,false,
1,Add,AddLatency001,node2,observer,http://127.0.0.1:8762,12,12,79209.022050,351.410136,79560.432186,346.720278,200,200,true,false,
1,Add,AddLatency001,node3,observer,http://127.0.0.1:8763,12,12,79628.792591,63.327610,79692.120201,61.179324,200,200,true,false,
1,Add,AddLatency001,node4,observer,http://127.0.0.1:8764,12,12,80179.660160,28.208127,80207.868287,23.625501,200,200,true,false,
1,Add,AddLatency001,node5,observer,http://127.0.0.1:8765,12,12,79690.166565,33.197790,79723.364355,29.574508,200,200,true,false,
1,Add,AddLatency001,node6,observer,http://127.0.0.1:8766,12,12,80673.286527,20.756150,80694.042677,18.296221,200,200,true,false,
1,Add,AddLatency001,node7,observer,http://127.0.0.1:8767,12,12,80366.510196,24.209739,80390.719935,21.954552,200,200,true,false,
1,Add,AddLatency001,node8,observer,http://127.0.0.1:8768,12,12,79984.382171,36.180412,80020.562583,32.913283,200,200,true,false,
1,Add,AddLatency001,node9,observer,http://127.0.0.1:8769,12,12,80445.937134,20.717598,80466.654732,17.716408,200,200,true,false,
1,Add,AddLatency001,node10,observer,http://127.0.0.1:8770,12,12,79609.831591,35.119694,79644.951285,32.530371,200,200,true,false,
2,Sha256,Sha256Latency001,node1,signer,http://127.0.0.1:8761,28,28,6503.267833,127.122233,6630.390066,120.532555,0x1dfa30acdf489c5a6ad291902fd7c58449fd325e8e64d0d45b704e8f4c453414,0x1dfa30acdf489c5a6ad291902fd7c58449fd325e8e64d0d45b704e8f4c453414,true,false,
2,Sha256,Sha256Latency001,node2,observer,http://127.0.0.1:8762,28,28,14402.779032,25.543774,14428.322806,18.537192,0x1dfa30acdf489c5a6ad291902fd7c58449fd325e8e64d0d45b704e8f4c453414,0x1dfa30acdf489c5a6ad291902fd7c58449fd325e8e64d0d45b704e8f4c453414,true,false,
2,Sha256,Sha256Latency001,node3,observer,http://127.0.0.1:8763,28,28,13837.543176,66.676166,13904.219342,57.538894,0x1dfa30acdf489c5a6ad291902fd7c58449fd325e8e64d0d45b704e8f4c453414,0x1dfa30acdf489c5a6ad291902fd7c58449fd325e8e64d0d45b704e8f4c453414,true,false,
2,Sha256,Sha256Latency001,node4,observer,http://127.0.0.1:8764,28,28,14515.725646,22.937183,14538.662829,17.613055,0x1dfa30acdf489c5a6ad291902fd7c58449fd325e8e64d0d45b704e8f4c453414,0x1dfa30acdf489c5a6ad291902fd7c58449fd325e8e64d0d45b704e8f4c453414,true,false,
2,Sha256,Sha256Latency001,node5,observer,http://127.0.0.1:8765,28,28,14617.689680,11.874952,14629.564632,9.441245,0x1dfa30acdf489c5a6ad291902fd7c58449fd325e8e64d0d45b704e8f4c453414,0x1dfa30acdf489c5a6ad291902fd7c58449fd325e8e64d0d45b704e8f4c453414,true,false,
2,Sha256,Sha256Latency001,node6,observer,http://127.0.0.1:8766,28,28,14507.064266,21.573997,14528.638263,19.127853,0x1dfa30acdf489c5a6ad291902fd7c58449fd325e8e64d0d45b704e8f4c453414,0x1dfa30acdf489c5a6ad291902fd7c58449fd325e8e64d0d45b704e8f4c453414,true,false,
2,Sha256,Sha256Latency001,node7,observer,http://127.0.0.1:8767,28,28,14477.790749,14.758842,14492.549591,12.940107,0x1dfa30acdf489c5a6ad291902fd7c58449fd325e8e64d0d45b704e8f4c453414,0x1dfa30acdf489c5a6ad291902fd7c58449fd325e8e64d0d45b704e8f4c453414,true,false,
2,Sha256,Sha256Latency001,node8,observer,http://127.0.0.1:8768,28,28,14489.286236,16.772034,14506.058270,13.513430,0x1dfa30acdf489c5a6ad291902fd7c58449fd325e8e64d0d45b704e8f4c453414,0x1dfa30acdf489c5a6ad291902fd7c58449fd325e8e64d0d45b704e8f4c453414,true,false,
2,Sha256,Sha256Latency001,node9,observer,http://127.0.0.1:8769,28,28,14529.279350,19.560110,14548.839460,16.694299,0x1dfa30acdf489c5a6ad291902fd7c58449fd325e8e64d0d45b704e8f4c453414,0x1dfa30acdf489c5a6ad291902fd7c58449fd325e8e64d0d45b704e8f4c453414,true,false,
2,Sha256,Sha256Latency001,node10,observer,http://127.0.0.1:8770,28,28,14743.414320,13.163244,14756.577564,11.397855,0x1dfa30acdf489c5a6ad291902fd7c58449fd325e8e64d0d45b704e8f4c453414,0x1dfa30acdf489c5a6ad291902fd7c58449fd325e8e64d0d45b704e8f4c453414,true,false,
3,Blake2bSum256,Sum256Latency001,node1,signer,http://127.0.0.1:8761,31,31,6671.284874,72.818233,6744.103107,64.659785,0x5775646cad293129974bf89550cb3c0ff84304ff40189eed61f57dfbdfb4ddc4,0x5775646cad293129974bf89550cb3c0ff84304ff40189eed61f57dfbdfb4ddc4,true,false,
3,Blake2bSum256,Sum256Latency001,node2,observer,http://127.0.0.1:8762,31,31,9772.909371,20.799606,9793.708977,17.737358,0x5775646cad293129974bf89550cb3c0ff84304ff40189eed61f57dfbdfb4ddc4,0x5775646cad293129974bf89550cb3c0ff84304ff40189eed61f57dfbdfb4ddc4,true,false,
3,Blake2bSum256,Sum256Latency001,node3,observer,http://127.0.0.1:8763,31,31,9593.879652,30.531948,9624.411600,17.732689,0x5775646cad293129974bf89550cb3c0ff84304ff40189eed61f57dfbdfb4ddc4,0x5775646cad293129974bf89550cb3c0ff84304ff40189eed61f57dfbdfb4ddc4,true,false,
3,Blake2bSum256,Sum256Latency001,node4,observer,http://127.0.0.1:8764,31,31,9606.187652,27.468382,9633.656034,25.056819,0x5775646cad293129974bf89550cb3c0ff84304ff40189eed61f57dfbdfb4ddc4,0x5775646cad293129974bf89550cb3c0ff84304ff40189eed61f57dfbdfb4ddc4,true,false,
3,Blake2bSum256,Sum256Latency001,node5,observer,http://127.0.0.1:8765,31,31,9989.316491,16.511579,10005.828070,13.393404,0x5775646cad293129974bf89550cb3c0ff84304ff40189eed61f57dfbdfb4ddc4,0x5775646cad293129974bf89550cb3c0ff84304ff40189eed61f57dfbdfb4ddc4,true,false,
3,Blake2bSum256,Sum256Latency001,node6,observer,http://127.0.0.1:8766,31,31,9980.540142,16.826990,9997.367132,13.599402,0x5775646cad293129974bf89550cb3c0ff84304ff40189eed61f57dfbdfb4ddc4,0x5775646cad293129974bf89550cb3c0ff84304ff40189eed61f57dfbdfb4ddc4,true,false,
3,Blake2bSum256,Sum256Latency001,node7,observer,http://127.0.0.1:8767,31,31,9989.316732,16.646353,10005.963085,13.408751,0x5775646cad293129974bf89550cb3c0ff84304ff40189eed61f57dfbdfb4ddc4,0x5775646cad293129974bf89550cb3c0ff84304ff40189eed61f57dfbdfb4ddc4,true,false,
3,Blake2bSum256,Sum256Latency001,node8,observer,http://127.0.0.1:8768,31,31,9578.776411,26.127833,9604.904244,17.070111,0x5775646cad293129974bf89550cb3c0ff84304ff40189eed61f57dfbdfb4ddc4,0x5775646cad293129974bf89550cb3c0ff84304ff40189eed61f57dfbdfb4ddc4,true,false,
3,Blake2bSum256,Sum256Latency001,node9,observer,http://127.0.0.1:8769,31,31,9626.714563,25.710611,9652.425174,22.326411,0x5775646cad293129974bf89550cb3c0ff84304ff40189eed61f57dfbdfb4ddc4,0x5775646cad293129974bf89550cb3c0ff84304ff40189eed61f57dfbdfb4ddc4,true,false,
3,Blake2bSum256,Sum256Latency001,node10,observer,http://127.0.0.1:8770,31,31,9574.886368,30.062976,9604.949344,21.658485,0x5775646cad293129974bf89550cb3c0ff84304ff40189eed61f57dfbdfb4ddc4,0x5775646cad293129974bf89550cb3c0ff84304ff40189eed61f57dfbdfb4ddc4,true,false,
4,Pbkdf2Sha256,Pbkdf2Sha256Latency001,node1,signer,http://127.0.0.1:8761,33,33,6721.957669,140.394336,6862.352005,102.578261,0xae4d0c95af6b46d32d0adff928f06dd02a303f8ef3c251dfd6e2d85a95474c43,0xae4d0c95af6b46d32d0adff928f06dd02a303f8ef3c251dfd6e2d85a95474c43,true,false,
4,Pbkdf2Sha256,Pbkdf2Sha256Latency001,node2,observer,http://127.0.0.1:8762,33,33,11779.994473,42.291676,11822.286149,35.986388,0xae4d0c95af6b46d32d0adff928f06dd02a303f8ef3c251dfd6e2d85a95474c43,0xae4d0c95af6b46d32d0adff928f06dd02a303f8ef3c251dfd6e2d85a95474c43,true,false,
4,Pbkdf2Sha256,Pbkdf2Sha256Latency001,node3,observer,http://127.0.0.1:8763,33,33,12230.881172,34.326249,12265.207421,29.787969,0xae4d0c95af6b46d32d0adff928f06dd02a303f8ef3c251dfd6e2d85a95474c43,0xae4d0c95af6b46d32d0adff928f06dd02a303f8ef3c251dfd6e2d85a95474c43,true,false,
4,Pbkdf2Sha256,Pbkdf2Sha256Latency001,node4,observer,http://127.0.0.1:8764,33,34,11602.171304,132.123039,11734.294343,50.891445,0xae4d0c95af6b46d32d0adff928f06dd02a303f8ef3c251dfd6e2d85a95474c43,0xae4d0c95af6b46d32d0adff928f06dd02a303f8ef3c251dfd6e2d85a95474c43,true,false,
4,Pbkdf2Sha256,Pbkdf2Sha256Latency001,node5,observer,http://127.0.0.1:8765,33,33,11288.371898,92.923833,11381.295731,83.566632,0xae4d0c95af6b46d32d0adff928f06dd02a303f8ef3c251dfd6e2d85a95474c43,0xae4d0c95af6b46d32d0adff928f06dd02a303f8ef3c251dfd6e2d85a95474c43,true,false,
4,Pbkdf2Sha256,Pbkdf2Sha256Latency001,node6,observer,http://127.0.0.1:8766,33,33,11892.969174,31.557931,11924.527105,27.884937,0xae4d0c95af6b46d32d0adff928f06dd02a303f8ef3c251dfd6e2d85a95474c43,0xae4d0c95af6b46d32d0adff928f06dd02a303f8ef3c251dfd6e2d85a95474c43,true,false,
4,Pbkdf2Sha256,Pbkdf2Sha256Latency001,node7,observer,http://127.0.0.1:8767,33,33,12018.119706,24.611668,12042.731374,18.809513,0xae4d0c95af6b46d32d0adff928f06dd02a303f8ef3c251dfd6e2d85a95474c43,0xae4d0c95af6b46d32d0adff928f06dd02a303f8ef3c251dfd6e2d85a95474c43,true,false,
4,Pbkdf2Sha256,Pbkdf2Sha256Latency001,node8,observer,http://127.0.0.1:8768,33,33,11486.022023,83.742706,11569.764729,69.674997,0xae4d0c95af6b46d32d0adff928f06dd02a303f8ef3c251dfd6e2d85a95474c43,0xae4d0c95af6b46d32d0adff928f06dd02a303f8ef3c251dfd6e2d85a95474c43,true,false,
4,Pbkdf2Sha256,Pbkdf2Sha256Latency001,node9,observer,http://127.0.0.1:8769,33,34,11697.168175,79.585246,11776.753421,76.575671,0xae4d0c95af6b46d32d0adff928f06dd02a303f8ef3c251dfd6e2d85a95474c43,0xae4d0c95af6b46d32d0adff928f06dd02a303f8ef3c251dfd6e2d85a95474c43,true,false,
4,Pbkdf2Sha256,Pbkdf2Sha256Latency001,node10,observer,http://127.0.0.1:8770,33,34,11812.643566,37.000950,11849.644516,34.049372,0xae4d0c95af6b46d32d0adff928f06dd02a303f8ef3c251dfd6e2d85a95474c43,0xae4d0c95af6b46d32d0adff928f06dd02a303f8ef3c251dfd6e2d85a95474c43,true,false,
5,Dh2048Secret,Dh2048SecretLatency001,node1,signer,http://127.0.0.1:8761,35,35,4290.508461,64.710150,4355.218611,61.092517,0x00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000800000000,0x00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000800000000,true,false,
