round,algorithm,upgrade_name,node_id,role,rpc_url,receipt_block,completion_block,submit_to_receipt_ms,receipt_to_complete_ms,submit_to_complete_ms,validation_call_ms,decoded_result,expected_result,completed,timed_out,error
1,Blake2bSum256,Sum256Latency001,node1,signer,http://127.0.0.1:8761,8,8,7691.180222,34.299155,7725.479377,30.437140,0x5775646cad293129974bf89550cb3c0ff84304ff40189eed61f57dfbdfb4ddc4,0x5775646cad293129974bf89550cb3c0ff84304ff40189eed61f57dfbdfb4ddc4,true,false,
1,Blake2bSum256,Sum256Latency001,node2,observer,http://127.0.0.1:8762,8,8,45907.540298,11.563317,45919.103615,10.027758,0x5775646cad293129974bf89550cb3c0ff84304ff40189eed61f57dfbdfb4ddc4,0x5775646cad293129974bf89550cb3c0ff84304ff40189eed61f57dfbdfb4ddc4,true,false,
1,Blake2bSum256,Sum256Latency001,node3,observer,http://127.0.0.1:8763,8,8,45503.890443,23.160327,45527.050770,20.813924,0x5775646cad293129974bf89550cb3c0ff84304ff40189eed61f57dfbdfb4ddc4,0x5775646cad293129974bf89550cb3c0ff84304ff40189eed61f57dfbdfb4ddc4,true,false,
1,Blake2bSum256,Sum256Latency001,node4,observer,http://127.0.0.1:8764,8,8,45424.457456,20.574557,45445.032013,17.359667,0x5775646cad293129974bf89550cb3c0ff84304ff40189eed61f57dfbdfb4ddc4,0x5775646cad293129974bf89550cb3c0ff84304ff40189eed61f57dfbdfb4ddc4,true,false,
1,Blake2bSum256,Sum256Latency001,node5,observer,http://127.0.0.1:8765,8,8,45625.950336,17.290022,45643.240358,14.556196,0x5775646cad293129974bf89550cb3c0ff84304ff40189eed61f57dfbdfb4ddc4,0x5775646cad293129974bf89550cb3c0ff84304ff40189eed61f57dfbdfb4ddc4,true,false,
1,Blake2bSum256,Sum256Latency001,node6,observer,http://127.0.0.1:8766,8,8,45603.404007,16.503402,45619.907409,13.928372,0x5775646cad293129974bf89550cb3c0ff84304ff40189eed61f57dfbdfb4ddc4,0x5775646cad293129974bf89550cb3c0ff84304ff40189eed61f57dfbdfb4ddc4,true,false,
1,Blake2bSum256,Sum256Latency001,node7,observer,http://127.0.0.1:8767,8,8,44838.461218,41.096231,44879.557449,35.220795,0x5775646cad293129974bf89550cb3c0ff84304ff40189eed61f57dfbdfb4ddc4,0x5775646cad293129974bf89550cb3c0ff84304ff40189eed61f57dfbdfb4ddc4,true,false,
1,Blake2bSum256,Sum256Latency001,node8,observer,http://127.0.0.1:8768,8,8,45749.241026,18.387522,45767.628548,16.097740,0x5775646cad293129974bf89550cb3c0ff84304ff40189eed61f57dfbdfb4ddc4,0x5775646cad293129974bf89550cb3c0ff84304ff40189eed61f57dfbdfb4ddc4,true,false,
1,Blake2bSum256,Sum256Latency001,node9,observer,http://127.0.0.1:8769,8,8,45434.584220,19.150450,45453.734670,16.527585,0x5775646cad293129974bf89550cb3c0ff84304ff40189eed61f57dfbdfb4ddc4,0x5775646cad293129974bf89550cb3c0ff84304ff40189eed61f57dfbdfb4ddc4,true,false,
1,Blake2bSum256,Sum256Latency001,node10,observer,http://127.0.0.1:8770,8,8,43819.366645,69.025699,43888.392344,65.731519,0x5775646cad293129974bf89550cb3c0ff84304ff40189eed61f57dfbdfb4ddc4,0x5775646cad293129974bf89550cb3c0ff84304ff40189eed61f57dfbdfb4ddc4,true,false,
