round,algorithm,upgrade_name,node_id,role,rpc_url,receipt_block,completion_block,submit_to_receipt_ms,receipt_to_complete_ms,submit_to_complete_ms,validation_call_ms,decoded_result,expected_result,completed,timed_out,error
1,Sha256,Sha256Latency001,node1,signer,http://127.0.0.1:8761,9,9,10325.785739,22.467787,10348.253526,19.251324,0x1dfa30acdf489c5a6ad291902fd7c58449fd325e8e64d0d45b704e8f4c453414,0x1dfa30acdf489c5a6ad291902fd7c58449fd325e8e64d0d45b704e8f4c453414,true,false,
1,Sha256,Sha256Latency001,node2,observer,http://127.0.0.1:8762,9,19,56691.463100,84.417511,56775.880611,79.714383,0x1dfa30acdf489c5a6ad291902fd7c58449fd325e8e64d0d45b704e8f4c453414,0x1dfa30acdf489c5a6ad291902fd7c58449fd325e8e64d0d45b704e8f4c453414,true,false,
1,Sha256,Sha256Latency001,node3,observer,http://127.0.0.1:8763,9,9,57279.614756,27.358060,57306.972816,20.951715,0x1dfa30acdf489c5a6ad291902fd7c58449fd325e8e64d0d45b704e8f4c453414,0x1dfa30acdf489c5a6ad291902fd7c58449fd325e8e64d0d45b704e8f4c453414,true,false,
1,Sha256,Sha256Latency001,node4,observer,http://127.0.0.1:8764,9,9,57295.652387,19.768272,57315.420659,16.110847,0x1dfa30acdf489c5a6ad291902fd7c58449fd325e8e64d0d45b704e8f4c453414,0x1dfa30acdf489c5a6ad291902fd7c58449fd325e8e64d0d45b704e8f4c453414,true,false,
1,Sha256,Sha256Latency001,node5,observer,http://127.0.0.1:8765,9,9,57949.877056,15.632908,57965.509964,13.915565,0x1dfa30acdf489c5a6ad291902fd7c58449fd325e8e64d0d45b704e8f4c453414,0x1dfa30acdf489c5a6ad291902fd7c58449fd325e8e64d0d45b704e8f4c453414,true,false,
1,Sha256,Sha256Latency001,node6,observer,http://127.0.0.1:8766,9,9,58127.726412,12.774069,58140.500481,10.962825,0x1dfa30acdf489c5a6ad291902fd7c58449fd325e8e64d0d45b704e8f4c453414,0x1dfa30acdf489c5a6ad291902fd7c58449fd325e8e64d0d45b704e8f4c453414,true,false,
1,Sha256,Sha256Latency001,node7,observer,http://127.0.0.1:8767,9,9,57426.605180,18.492261,57445.097441,16.215229,0x1dfa30acdf489c5a6ad291902fd7c58449fd325e8e64d0d45b704e8f4c453414,0x1dfa30acdf489c5a6ad291902fd7c58449fd325e8e64d0d45b704e8f4c453414,true,false,
1,Sha256,Sha256Latency001,node8,observer,http://127.0.0.1:8768,9,9,57417.648902,22.642983,57440.291885,19.249990,0x1dfa30acdf489c5a6ad291902fd7c58449fd325e8e64d0d45b704e8f4c453414,0x1dfa30acdf489c5a6ad291902fd7c58449fd325e8e64d0d45b704e8f4c453414,true,false,
1,Sha256,Sha256Latency001,node9,observer,http://127.0.0.1:8769,9,9,57342.979998,28.318118,57371.298116,23.466041,0x1dfa30acdf489c5a6ad291902fd7c58449fd325e8e64d0d45b704e8f4c453414,0x1dfa30acdf489c5a6ad291902fd7c58449fd325e8e64d0d45b704e8f4c453414,true,false,
1,Sha256,Sha256Latency001,node10,observer,http://127.0.0.1:8770,9,9,57713.525482,23.218100,57736.743582,20.935392,0x1dfa30acdf489c5a6ad291902fd7c58449fd325e8e64d0d45b704e8f4c453414,0x1dfa30acdf489c5a6ad291902fd7c58449fd325e8e64d0d45b704e8f4c453414,true,false,
