algorithm_group,round,algorithm,upgrade_name,node_id,role,rpc_url,receipt_block,completion_block,submit_to_receipt_ms,receipt_to_complete_ms,submit_to_complete_ms,validation_call_ms,decoded_result,expected_result,completed,timed_out,error
Add,1,Add,AddLatency001,node1,signer,http://127.0.0.1:8761,9,9,11724.817510,35.181973,11759.999483,33.162049,200,200,true,false,
Add,1,Add,AddLatency001,node2,observer,http://127.0.0.1:8762,9,9,65214.546138,16.115808,65230.661946,13.240804,200,200,true,false,
Add,1,Add,AddLatency001,node3,observer,http://127.0.0.1:8763,9,9,64198.634497,31.509349,64230.143846,23.920663,200,200,true,false,
Add,1,Add,AddLatency001,node4,observer,http://127.0.0.1:8764,9,9,65328.881313,14.837922,65343.719235,13.196823,200,200,true,false,
Add,1,Add,AddLatency001,node5,observer,http://127.0.0.1:8765,9,9,63345.680706,49.097404,63394.778110,46.852267,200,200,true,false,
Add,1,Add,AddLatency001,node6,observer,http://127.0.0.1:8766,9,9,65459.051946,12.857401,65471.909347,11.177523,200,200,true,false,
Add,1,Add,AddLatency001,node7,observer,http://127.0.0.1:8767,9,9,65510.478132,11.115951,65521.594083,9.600263,200,200,true,false,
Add,1,Add,AddLatency001,node8,observer,http://127.0.0.1:8768,9,9,64792.018025,42.692348,64834.710373,38.943463,200,200,true,false,
Add,1,Add,AddLatency001,node9,observer,http://127.0.0.1:8769,9,9,65200.526207,18.629996,65219.156203,15.974665,200,200,true,false,
Add,1,Add,AddLatency001,node10,observer,http://127.0.0.1:8770,9,9,64811.783994,33.126397,64844.910391,29.916584,200,200,true,false,
Sha256,1,Sha256,Sha256Latency001,node1,signer,http://127.0.0.1:8761,9,9,10325.785739,22.467787,10348.253526,19.251324,0x1dfa30acdf489c5a6ad291902fd7c58449fd325e8e64d0d45b704e8f4c453414,0x1dfa30acdf489c5a6ad291902fd7c58449fd325e8e64d0d45b704e8f4c453414,true,false,
Sha256,1,Sha256,Sha256Latency001,node2,observer,http://127.0.0.1:8762,9,19,56691.463100,84.417511,56775.880611,79.714383,0x1dfa30acdf489c5a6ad291902fd7c58449fd325e8e64d0d45b704e8f4c453414,0x1dfa30acdf489c5a6ad291902fd7c58449fd325e8e64d0d45b704e8f4c453414,true,false,
Sha256,1,Sha256,Sha256Latency001,node3,observer,http://127.0.0.1:8763,9,9,57279.614756,27.358060,57306.972816,20.951715,0x1dfa30acdf489c5a6ad291902fd7c58449fd325e8e64d0d45b704e8f4c453414,0x1dfa30acdf489c5a6ad291902fd7c58449fd325e8e64d0d45b704e8f4c453414,true,false,
Sha256,1,Sha256,Sha256Latency001,node4,observer,http://127.0.0.1:8764,9,9,57295.652387,19.768272,57315.420659,16.110847,0x1dfa30acdf489c5a6ad291902fd7c58449fd325e8e64d0d45b704e8f4c453414,0x1dfa30acdf489c5a6ad291902fd7c58449fd325e8e64d0d45b704e8f4c453414,true,false,
Sha256,1,Sha256,Sha256Latency001,node5,observer,http://127.0.0.1:8765,9,9,57949.877056,15.632908,57965.509964,13.915565,0x1dfa30acdf489c5a6ad291902fd7c58449fd325e8e64d0d45b704e8f4c453414,0x1dfa30acdf489c5a6ad291902fd7c58449fd325e8e64d0d45b704e8f4c453414,true,false,
Sha256,1,Sha256,Sha256Latency001,node6,observer,http://127.0.0.1:8766,9,9,58127.726412,12.774069,58140.500481,10.962825,0x1dfa30acdf489c5a6ad291902fd7c58449fd325e8e64d0d45b704e8f4c453414,0x1dfa30acdf489c5a6ad291902fd7c58449fd325e8e64d0d45b704e8f4c453414,true,false,
Sha256,1,Sha256,Sha256Latency001,node7,observer,http://127.0.0.1:8767,9,9,57426.605180,18.492261,57445.097441,16.215229,0x1dfa30acdf489c5a6ad291902fd7c58449fd325e8e64d0d45b704e8f4c453414,0x1dfa30acdf489c5a6ad291902fd7c58449fd325e8e64d0d45b704e8f4c453414,true,false,
Sha256,1,Sha256,Sha256Latency001,node8,observer,http://127.0.0.1:8768,9,9,57417.648902,22.642983,57440.291885,19.249990,0x1dfa30acdf489c5a6ad291902fd7c58449fd325e8e64d0d45b704e8f4c453414,0x1dfa30acdf489c5a6ad291902fd7c58449fd325e8e64d0d45b704e8f4c453414,true,false,
Sha256,1,Sha256,Sha256Latency001,node9,observer,http://127.0.0.1:8769,9,9,57342.979998,28.318118,57371.298116,23.466041,0x1dfa30acdf489c5a6ad291902fd7c58449fd325e8e64d0d45b704e8f4c453414,0x1dfa30acdf489c5a6ad291902fd7c58449fd325e8e64d0d45b704e8f4c453414,true,false,
Sha256,1,Sha256,Sha256Latency001,node10,observer,http://127.0.0.1:8770,9,9,57713.525482,23.218100,57736.743582,20.935392,0x1dfa30acdf489c5a6ad291902fd7c58449fd325e8e64d0d45b704e8f4c453414,0x1dfa30acdf489c5a6ad291902fd7c58449fd325e8e64d0d45b704e8f4c453414,true,false,
Blake2bSum256,1,Blake2bSum256,Sum256Latency001,node1,signer,http://127.0.0.1:8761,8,8,7691.180222,34.299155,7725.479377,30.437140,0x5775646cad293129974bf89550cb3c0ff84304ff40189eed61f57dfbdfb4ddc4,0x5775646cad293129974bf89550cb3c0ff84304ff40189eed61f57dfbdfb4ddc4,true,false,
Blake2bSum256,1,Blake2bSum256,Sum256Latency001,node2,observer,http://127.0.0.1:8762,8,8,45907.540298,11.563317,45919.103615,10.027758,0x5775646cad293129974bf89550cb3c0ff84304ff40189eed61f57dfbdfb4ddc4,0x5775646cad293129974bf89550cb3c0ff84304ff40189eed61f57dfbdfb4ddc4,true,false,
Blake2bSum256,1,Blake2bSum256,Sum256Latency001,node3,observer,http://127.0.0.1:8763,8,8,45503.890443,23.160327,45527.050770,20.813924,0x5775646cad293129974bf89550cb3c0ff84304ff40189eed61f57dfbdfb4ddc4,0x5775646cad293129974bf89550cb3c0ff84304ff40189eed61f57dfbdfb4ddc4,true,false,
Blake2bSum256,1,Blake2bSum256,Sum256Latency001,node4,observer,http://127.0.0.1:8764,8,8,45424.457456,20.574557,45445.032013,17.359667,0x5775646cad293129974bf89550cb3c0ff84304ff40189eed61f57dfbdfb4ddc4,0x5775646cad293129974bf89550cb3c0ff84304ff40189eed61f57dfbdfb4ddc4,true,false,
Blake2bSum256,1,Blake2bSum256,Sum256Latency001,node5,observer,http://127.0.0.1:8765,8,8,45625.950336,17.290022,45643.240358,14.556196,0x5775646cad293129974bf89550cb3c0ff84304ff40189eed61f57dfbdfb4ddc4,0x5775646cad293129974bf89550cb3c0ff84304ff40189eed61f57dfbdfb4ddc4,true,false,
Blake2bSum256,1,Blake2bSum256,Sum256Latency001,node6,observer,http://127.0.0.1:8766,8,8,45603.404007,16.503402,45619.907409,13.928372,0x5775646cad293129974bf89550cb3c0ff84304ff40189eed61f57dfbdfb4ddc4,0x5775646cad293129974bf89550cb3c0ff84304ff40189eed61f57dfbdfb4ddc4,true,false,
Blake2bSum256,1,Blake2bSum256,Sum256Latency001,node7,observer,http://127.0.0.1:8767,8,8,44838.461218,41.096231,44879.557449,35.220795,0x5775646cad293129974bf89550cb3c0ff84304ff40189eed61f57dfbdfb4ddc4,0x5775646cad293129974bf89550cb3c0ff84304ff40189eed61f57dfbdfb4ddc4,true,false,
Blake2bSum256,1,Blake2bSum256,Sum256Latency001,node8,observer,http://127.0.0.1:8768,8,8,45749.241026,18.387522,45767.628548,16.097740,0x5775646cad293129974bf89550cb3c0ff84304ff40189eed61f57dfbdfb4ddc4,0x5775646cad293129974bf89550cb3c0ff84304ff40189eed61f57dfbdfb4ddc4,true,false,
Blake2bSum256,1,Blake2bSum256,Sum256Latency001,node9,observer,http://127.0.0.1:8769,8,8,45434.584220,19.150450,45453.734670,16.527585,0x5775646cad293129974bf89550cb3c0ff84304ff40189eed61f57dfbdfb4ddc4,0x5775646cad293129974bf89550cb3c0ff84304ff40189eed61f57dfbdfb4ddc4,true,false,
