round,algorithm,upgrade_name,node_id,role,rpc_url,receipt_block,completion_block,submit_to_receipt_ms,receipt_to_complete_ms,submit_to_complete_ms,validation_call_ms,decoded_result,expected_result,completed,timed_out,error
1,SchnorrVerify,SchnorrVerifyLatency001,node1,signer,http://127.0.0.1:8761,13,13,14616.241230,87.848551,14704.089781,84.403786,true,true,true,false,
1,SchnorrVerify,SchnorrVerifyLatency001,node2,observer,http://127.0.0.1:8762,13,13,94400.566572,117.912025,94518.478597,113.074946,true,true,true,false,
1,SchnorrVerify,SchnorrVerifyLatency001,node3,observer,http://127.0.0.1:8763,13,13,94204.804065,83.080098,94287.884163,80.342705,true,true,true,false,
1,SchnorrVerify,SchnorrVerifyLatency001,node4,observer,http://127.0.0.1:8764,13,13,95851.487194,17.542500,95869.029694,15.926331,true,true,true,false,
1,SchnorrVerify,SchnorrVerifyLatency001,node5,observer,http://127.0.0.1:8765,13,13,94213.294460,139.629305,94352.923765,130.253868,true,true,true,false,
1,SchnorrVerify,SchnorrVerifyLatency001,node6,observer,http://127.0.0.1:8766,13,13,95240.863842,72.962118,95313.825960,69.077221,true,true,true,false,
1,SchnorrVerify,SchnorrVerifyLatency001,node7,observer,http://127.0.0.1:8767,13,13,95341.276434,39.054372,95380.330806,34.106442,true,true,true,false,
1,SchnorrVerify,SchnorrVerifyLatency001,node8,observer,http://127.0.0.1:8768,13,13,92102.767260,316.751568,92419.518828,308.641783,true,true,true,false,
1,SchnorrVerify,SchnorrVerifyLatency001,node9,observer,http://127.0.0.1:8769,13,13,95766.599688,45.102793,95811.702481,43.538249,true,true,true,false,
1,SchnorrVerify,SchnorrVerifyLatency001,node10,observer,http://127.0.0.1:8770,13,13,95176.414350,137.410945,95313.825295,131.230439,true,true,true,false,
