round,algorithm,upgrade_name,node_id,role,rpc_url,receipt_block,completion_block,submit_to_receipt_ms,tx_hash_to_receipt_ms,sender_receipt_to_receipt_ms,receipt_to_complete_ms,submit_to_complete_ms,tx_hash_to_complete_ms,sender_receipt_to_complete_ms,validation_call_ms,decoded_result,expected_result,completed,timed_out,error
1,Add,AddLatency001,node1,signer,http://127.0.0.1:8761,13,13,10117.822511,10115.462978,-0.432270,33.290796,10151.113307,10148.753774,32.858526,28.286657,200,200,true,false,
1,Add,AddLatency001,node2,observer,http://127.0.0.1:8762,13,13,86433.331731,86430.972198,76315.076950,30.190352,86463.522083,86461.162550,76345.267302,24.484298,200,200,true,false,
1,Add,AddLatency001,node3,observer,http://127.0.0.1:8763,13,13,82902.273423,82899.913890,72784.018642,379.752134,83282.025557,83279.666024,73163.770776,345.942475,200,200,true,false,
1,Add,AddLatency001,node4,observer,http://127.0.0.1:8764,13,13,86872.535578,86870.176045,76754.280797,35.399090,86907.934668,86905.575135,76789.679887,28.572969,200,200,true,false,
1,Add,AddLatency001,node5,observer,http://127.0.0.1:8765,13,13,85255.276067,85252.916534,75137.021286,58.387914,85313.663981,85311.304448,75195.409200,52.223595,200,200,true,false,
1,Add,AddLatency001,node6,observer,http://127.0.0.1:8766,13,13,86071.087423,86068.727890,75952.832642,52.929984,86124.017407,86121.657874,76005.762626,49.574497,200,200,true,false,
1,Add,AddLatency001,node7,observer,http://127.0.0.1:8767,13,0,87075.438372,87073.078839,76957.183591,0.000000,0.000000,0.000000,0.000000,0.000000,,200,false,true,"Post ""http://127.0.0.1:8767"": dial tcp 127.0.0.1:8767: connect: connection refused"
1,Add,AddLatency001,node8,observer,http://127.0.0.1:8768,13,13,83736.684839,83734.325306,73618.430058,84.679792,83821.364631,83819.005098,73703.109850,64.076099,200,200,true,false,
1,Add,AddLatency001,node9,observer,http://127.0.0.1:8769,13,13,86222.310159,86219.950626,76104.055378,37.043926,86259.354085,86256.994552,76141.099304,34.239684,200,200,true,false,
1,Add,AddLatency001,node10,observer,http://127.0.0.1:8770,13,13,84942.171313,84939.811780,74823.916532,71.603477,85013.774790,85011.415257,74895.520009,60.954615,200,200,true,false,
