round,algorithm,upgrade_name,node_id,role,rpc_url,receipt_block,completion_block,submit_to_receipt_ms,tx_hash_to_receipt_ms,sender_receipt_to_receipt_ms,receipt_to_complete_ms,submit_to_complete_ms,tx_hash_to_complete_ms,sender_receipt_to_complete_ms,validation_call_ms,decoded_result,expected_result,completed,timed_out,error
1,Add,AddLatency001,node1,signer,http://127.0.0.1:8761,14,14,10715.846880,10714.003301,0.398839,75.933175,10791.780055,10789.936476,76.332014,56.620475,200,200,true,false,
1,Add,AddLatency001,node2,observer,http://127.0.0.1:8762,14,14,38501.854797,38500.011218,27786.406756,10.536737,38512.391534,38510.547955,27796.943493,9.229974,200,200,true,false,
1,Add,AddLatency001,node3,observer,http://127.0.0.1:8763,14,14,37306.315914,37304.472335,26590.867873,61.527896,37367.843810,37366.000231,26652.395769,58.315152,200,200,true,false,
1,Add,AddLatency001,node4,observer,http://127.0.0.1:8764,14,14,38556.029779,38554.186200,27840.581738,11.291428,38567.321207,38565.477628,27851.873166,9.814541,200,200,true,false,
1,Add,AddLatency001,node5,observer,http://127.0.0.1:8765,14,14,37339.739277,37337.895698,26624.291236,50.844702,37390.583979,37388.740400,26675.135938,29.773093,200,200,true,false,
1,Add,AddLatency001,node6,observer,http://127.0.0.1:8766,14,14,37670.152184,37668.308605,26954.704143,35.158298,37705.310482,37703.466903,26989.862441,26.342283,200,200,true,false,
1,Add,AddLatency001,node7,observer,http://127.0.0.1:8767,14,14,37028.186154,37026.342575,26312.738113,38.279775,37066.465929,37064.622350,26351.017888,35.537118,200,200,true,false,
1,Add,AddLatency001,node8,observer,http://127.0.0.1:8768,14,14,37464.828861,37462.985282,26749.380820,23.826061,37488.654922,37486.811343,26773.206881,21.262475,200,200,true,false,
1,Add,AddLatency001,node9,observer,http://127.0.0.1:8769,14,14,37061.625740,37059.782161,26346.177699,42.501516,37104.127256,37102.283677,26388.679215,35.493619,200,200,true,false,
1,Add,AddLatency001,node10,observer,http://127.0.0.1:8770,14,14,37339.329821,37337.486242,26623.881780,24.520716,37363.850537,37362.006958,26648.402496,21.835986,200,200,true,false,
