round,algorithm,upgrade_name,node_id,role,rpc_url,receipt_block,completion_block,submit_to_receipt_ms,receipt_to_complete_ms,submit_to_complete_ms,validation_call_ms,decoded_result,expected_result,completed,timed_out,error
1,Add,AddLatency001,node1,signer,http://127.0.0.1:8661,5,5,9312.328278,16.503936,9328.832214,14.327885,200,200,true,false,
1,Add,AddLatency001,node2,observer,http://127.0.0.1:8662,5,5,20459.470621,17.036303,20476.506924,15.018347,200,200,true,false,
2,Sha256,Sha256Latency001,node1,signer,http://127.0.0.1:8661,9,9,4247.036260,25.182817,4272.219077,22.197320,0x1dfa30acdf489c5a6ad291902fd7c58449fd325e8e64d0d45b704e8f4c453414,0x1dfa30acdf489c5a6ad291902fd7c58449fd325e8e64d0d45b704e8f4c453414,true,false,
2,Sha256,Sha256Latency001,node2,observer,http://127.0.0.1:8662,9,9,5458.164596,9.535636,5467.700232,7.936412,0x1dfa30acdf489c5a6ad291902fd7c58449fd325e8e64d0d45b704e8f4c453414,0x1dfa30acdf489c5a6ad291902fd7c58449fd325e8e64d0d45b704e8f4c453414,true,false,
3,Blake2bSum256,Sum256Latency001,node1,signer,http://127.0.0.1:8661,11,11,8688.411477,14.056346,8702.467823,11.929556,0x5775646cad293129974bf89550cb3c0ff84304ff40189eed61f57dfbdfb4ddc4,0x5775646cad293129974bf89550cb3c0ff84304ff40189eed61f57dfbdfb4ddc4,true,false,
3,Blake2bSum256,Sum256Latency001,node2,observer,http://127.0.0.1:8662,11,11,9294.309095,9.166857,9303.475952,7.288813,0x5775646cad293129974bf89550cb3c0ff84304ff40189eed61f57dfbdfb4ddc4,0x5775646cad293129974bf89550cb3c0ff84304ff40189eed61f57dfbdfb4ddc4,true,false,
4,Pbkdf2Sha256,Pbkdf2Sha256Latency001,node1,signer,http://127.0.0.1:8661,12,12,4443.524763,18.318884,4461.843647,16.131298,0xae4d0c95af6b46d32d0adff928f06dd02a303f8ef3c251dfd6e2d85a95474c43,0xae4d0c95af6b46d32d0adff928f06dd02a303f8ef3c251dfd6e2d85a95474c43,true,false,
4,Pbkdf2Sha256,Pbkdf2Sha256Latency001,node2,observer,http://127.0.0.1:8662,12,12,5251.868709,10.997803,5262.866512,9.364259,0xae4d0c95af6b46d32d0adff928f06dd02a303f8ef3c251dfd6e2d85a95474c43,0xae4d0c95af6b46d32d0adff928f06dd02a303f8ef3c251dfd6e2d85a95474c43,true,false,
5,Dh2048Secret,Dh2048SecretLatency001,node1,signer,http://127.0.0.1:8661,13,13,4243.506841,17.304921,4260.811762,14.612604,0x00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000800000000,0x00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000800000000,true,false,
5,Dh2048Secret,Dh2048SecretLatency001,node2,observer,http://127.0.0.1:8662,13,13,4646.575854,12.573012,4659.148866,11.248695,0x00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000800000000,0x00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000800000000,true,false,
