algorithm,algorithm_label,scheme,scheme_label,output_matched,gas_estimate,mean_ms,p50_ms,p95_ms,min_ms,max_ms,samples,warmup,calldata_bytes,wasm_hash,activation_block
Add,Add,upgrade,WASM upgrade,True,25408,1.080844,1.037538,1.553538,0.777159,2.171881,100,10,228,0x3ccbedd0d23f7d7bc42706a41d077f86cf769b9eb857cbfe58765422a5051cb1,0
Add,Add,contract,Solidity,True,21736,0.879949,0.849331,1.058099,0.673445,1.607709,100,10,68,0x3ccbedd0d23f7d7bc42706a41d077f86cf769b9eb857cbfe58765422a5051cb1,0
Add,Add,precompile,Precompile,True,24739,0.884838,0.874033,1.04596,0.727032,1.395398,100,10,64,0x3ccbedd0d23f7d7bc42706a41d077f86cf769b9eb857cbfe58765422a5051cb1,0
Sha256,SHA-256,upgrade,WASM upgrade,True,25801,1.00209,0.963332,1.2481,0.716889,1.589544,100,10,260,0x3e8b67654c8e51b87b733a2f233873345f5a25e771ce233b79272bd0e48a33b3,0
Sha256,SHA-256,contract,Solidity,True,22846,0.867547,0.839237,1.119969,0.682277,1.519369,100,10,100,0x3e8b67654c8e51b87b733a2f233873345f5a25e771ce233b79272bd0e48a33b3,0
Sha256,SHA-256,precompile,Precompile,True,25156,0.979316,0.898337,1.47494,0.724578,2.611944,100,10,96,0x3e8b67654c8e51b87b733a2f233873345f5a25e771ce233b79272bd0e48a33b3,0
Blake2bSum256,BLAKE2b,upgrade,WASM upgrade,True,25801,1.045821,1.023386,1.330968,0.808358,1.745705,100,10,260,0x0587faade3ad4b3c4ccdbdd0ebd4d15093433cdf6914466e10d0ea51dad83acd,0
Blake2bSum256,BLAKE2b,contract,Solidity,True,113059,1.417825,1.328763,1.921399,1.142373,3.461052,100,10,100,0x0587faade3ad4b3c4ccdbdd0ebd4d15093433cdf6914466e10d0ea51dad83acd,0
Blake2bSum256,BLAKE2b,precompile,Precompile,True,25156,0.868157,0.844986,1.092328,0.708248,1.189342,100,10,96,0x0587faade3ad4b3c4ccdbdd0ebd4d15093433cdf6914466e10d0ea51dad83acd,0
Pbkdf2Sha256,PBKDF2,upgrade,WASM upgrade,True,48522,1.288086,1.228286,1.694022,0.87776,3.189327,100,10,420,0xb7614a665dc5645cff1763034c823803693b0cbd58c54235490b29f64a372831,0
Pbkdf2Sha256,PBKDF2,contract,Solidity,True,93643,1.370383,1.335952,1.860067,0.939392,2.117223,100,10,260,0xb7614a665dc5645cff1763034c823803693b0cbd58c54235490b29f64a372831,0
Pbkdf2Sha256,PBKDF2,precompile,Precompile,True,52880,1.013204,0.923786,1.409279,0.711773,2.923455,100,10,256,0xb7614a665dc5645cff1763034c823803693b0cbd58c54235490b29f64a372831,0
Dh2048Secret,DH-2048,upgrade,WASM upgrade,True,226586,1.669938,1.611405,2.232386,1.118824,2.389389,100,10,580,0xd96b736c15258b1571cd117d63f6c2bc502656e44bd81e390f57b9c9ebb1d979,0
Dh2048Secret,DH-2048,contract,Solidity,True,378560,2.37006,2.353628,3.015928,1.709422,3.647343,100,10,420,0xd96b736c15258b1571cd117d63f6c2bc502656e44bd81e390f57b9c9ebb1d979,0
Dh2048Secret,DH-2048,precompile,Precompile,True,251877,0.984351,0.915096,1.303999,0.673751,1.8665,100,10,416,0xd96b736c15258b1571cd117d63f6c2bc502656e44bd81e390f57b9c9ebb1d979,0
PedersenCommit,Pedersen,upgrade,WASM upgrade,True,225695,1.875863,1.830375,2.327022,1.481848,3.115887,100,10,356,0x3313f7286dfa8cccd8d0458417b994974507764d160b36e7462494268aeb8cd2,0
PedersenCommit,Pedersen,contract,Solidity,True,853145,3.549043,3.462631,4.272888,2.905501,5.653983,100,10,196,0x3313f7286dfa8cccd8d0458417b994974507764d160b36e7462494268aeb8cd2,0
PedersenCommit,Pedersen,precompile,Precompile,True,236863,0.884988,0.863709,1.087042,0.662811,1.368733,100,10,192,0x3313f7286dfa8cccd8d0458417b994974507764d160b36e7462494268aeb8cd2,0
SchnorrVerify,Schnorr,upgrade,WASM upgrade,True,229437,188.600367,183.371594,215.351706,176.414086,248.162095,100,10,1092,0x96d278d0f4166759f0536d702eb734d5483f2a14b41bd3c9a97891f65ded5744,0
SchnorrVerify,Schnorr,contract,Solidity,True,2301691,6.424933,6.372181,7.098088,5.695394,8.481883,100,10,932,0x96d278d0f4166759f0536d702eb734d5483f2a14b41bd3c9a97891f65ded5744,0
SchnorrVerify,Schnorr,precompile,Precompile,True,286970,1.946447,1.933087,2.272389,1.660254,2.551353,100,10,928,0x96d278d0f4166759f0536d702eb734d5483f2a14b41bd3c9a97891f65ded5744,0
