algorithm,scheme,sample_index,latency_ms
Add,upgrade,1,0.886741
Add,upgrade,2,1.105909
Add,upgrade,3,1.01779
Add,upgrade,4,0.92787
Add,upgrade,5,0.812806
Add,upgrade,6,1.037538
Add,upgrade,7,0.837058
Add,upgrade,8,1.338206
Add,upgrade,9,1.553538
Add,upgrade,10,1.089999
Add,upgrade,11,1.008398
Add,upgrade,12,0.862452
Add,upgrade,13,0.947371
Add,upgrade,14,0.845939
Add,upgrade,15,0.947241
Add,upgrade,16,0.959776
Add,upgrade,17,0.777159
Add,upgrade,18,0.868496
Add,upgrade,19,0.984749
Add,upgrade,20,0.89887
Add,upgrade,21,0.973931
Add,upgrade,22,1.955639
Add,upgrade,23,2.171881
Add,upgrade,24,1.77996
Add,upgrade,25,1.114676
Add,upgrade,26,1.017276
Add,upgrade,27,0.961148
Add,upgrade,28,1.062656
Add,upgrade,29,1.253149
Add,upgrade,30,1.045589
Add,upgrade,31,1.073726
Add,upgrade,32,1.233532
Add,upgrade,33,0.906695
Add,upgrade,34,1.107657
Add,upgrade,35,0.834937
Add,upgrade,36,1.103048
Add,upgrade,37,0.958443
Add,upgrade,38,0.95451
Add,upgrade,39,0.888145
Add,upgrade,40,1.03628
Add,upgrade,41,0.952884
Add,upgrade,42,1.095433
Add,upgrade,43,1.052412
Add,upgrade,44,1.139171
Add,upgrade,45,1.103144
Add,upgrade,46,0.971307
Add,upgrade,47,0.921296
Add,upgrade,48,1.046246
Add,upgrade,49,0.951289
Add,upgrade,50,0.91502
Add,upgrade,51,0.845097
Add,upgrade,52,0.973732
Add,upgrade,53,0.886436
Add,upgrade,54,0.894902
Add,upgrade,55,0.926467
Add,upgrade,56,0.920776
Add,upgrade,57,0.869534
Add,upgrade,58,1.098831
Add,upgrade,59,1.393169
Add,upgrade,60,1.367011
Add,upgrade,61,1.290875
Add,upgrade,62,1.092027
Add,upgrade,63,1.125511
Add,upgrade,64,1.113338
Add,upgrade,65,1.025476
Add,upgrade,66,1.079589
Add,upgrade,67,1.048164
Add,upgrade,68,0.997738
Add,upgrade,69,1.003047
Add,upgrade,70,0.988561
Add,upgrade,71,1.135128
Add,upgrade,72,0.896867
Add,upgrade,73,1.309971
Add,upgrade,74,1.596908
Add,upgrade,75,1.588661
Add,upgrade,76,1.221113
Add,upgrade,77,1.301356
Add,upgrade,78,1.136391
Add,upgrade,79,1.113228
Add,upgrade,80,1.085935
Add,upgrade,81,1.048003
Add,upgrade,82,0.971562
Add,upgrade,83,1.108129
Add,upgrade,84,1.31984
Add,upgrade,85,0.994722
Add,upgrade,86,1.09921
Add,upgrade,87,0.892608
Add,upgrade,88,1.23561
Add,upgrade,89,1.189192
Add,upgrade,90,1.069795
Add,upgrade,91,1.094031
Add,upgrade,92,1.125712
Add,upgrade,93,1.070386
Add,upgrade,94,1.002301
Add,upgrade,95,1.372267
Add,upgrade,96,1.049025
Add,upgrade,97,0.949837
Add,upgrade,98,0.90934
Add,upgrade,99,1.025762
Add,upgrade,100,0.942292
Add,contract,1,0.90103
Add,contract,2,0.862812
Add,contract,3,0.966513
Add,contract,4,0.861719
Add,contract,5,1.100824
Add,contract,6,0.878377
Add,contract,7,0.752856
Add,contract,8,0.811399
Add,contract,9,0.84642
Add,contract,10,0.920775
Add,contract,11,0.880565
Add,contract,12,0.900979
Add,contract,13,0.990855
Add,contract,14,1.137558
Add,contract,15,1.040285
Add,contract,16,0.836661
Add,contract,17,0.779793
Add,contract,18,0.85452
Add,contract,19,0.849331
Add,contract,20,0.745543
Add,contract,21,0.79934
Add,contract,22,0.817591
Add,contract,23,0.985364
Add,contract,24,1.03077
Add,contract,25,0.846401
Add,contract,26,0.803178
Add,contract,27,0.923481
Add,contract,28,0.744792
Add,contract,29,0.810983
Add,contract,30,0.771272
Add,contract,31,0.745869
Add,contract,32,0.837759
Add,contract,33,0.800818
Add,contract,34,0.822981
Add,contract,35,0.752286
Add,contract,36,0.738645
Add,contract,37,1.011874
Add,contract,38,0.930787
Add,contract,39,0.850131
Add,contract,40,0.819383
