round,algorithm,upgrade_name,node_id,role,rpc_url,receipt_block,completion_block,submit_to_receipt_ms,tx_hash_to_receipt_ms,sender_receipt_to_receipt_ms,receipt_to_complete_ms,submit_to_complete_ms,tx_hash_to_complete_ms,sender_receipt_to_complete_ms,event_to_complete_ms,validation_call_ms,decoded_result,expected_result,completed,timed_out,error
1,Add,AddLatency001,node1,signer,http://127.0.0.1:8761,37,37,4853.577869,4849.138554,-1.087769,4.346162,4857.924031,4853.484716,3.258393,3.258393,1.332334,200,200,true,false,
1,Add,AddLatency001,node2,observer,http://127.0.0.1:8762,37,37,4852.290214,4847.850899,-2.375424,5.231407,4857.521621,4853.082306,2.855983,2.855983,1.611064,200,200,true,false,
1,Add,AddLatency001,node3,observer,http://127.0.0.1:8763,37,37,4853.627448,4849.188133,-1.038190,4.000024,4857.627472,4853.188157,2.961834,2.961834,1.429889,200,200,true,false,
1,Add,AddLatency001,node4,observer,http://127.0.0.1:8764,37,37,4854.414771,4849.975456,-0.250867,3.291536,4857.706307,4853.266992,3.040669,3.040669,1.254090,200,200,true,false,
1,Add,AddLatency001,node5,observer,http://127.0.0.1:8765,37,37,4852.327160,4847.887845,-2.338478,4.149673,4856.476833,4852.037518,1.811195,1.811195,1.804739,200,200,true,false,
2,Sha256,Sha256Latency001,node1,signer,http://127.0.0.1:8761,38,38,5059.975313,5053.612800,0.164383,4.125798,5064.101111,5057.738598,4.290181,4.290181,1.610282,0x1dfa30acdf489c5a6ad291902fd7c58449fd325e8e64d0d45b704e8f4c453414,0x1dfa30acdf489c5a6ad291902fd7c58449fd325e8e64d0d45b704e8f4c453414,true,false,
2,Sha256,Sha256Latency001,node2,observer,http://127.0.0.1:8762,38,38,5060.275344,5053.912831,0.464414,3.825637,5064.100981,5057.738468,4.290051,4.290051,1.739906,0x1dfa30acdf489c5a6ad291902fd7c58449fd325e8e64d0d45b704e8f4c453414,0x1dfa30acdf489c5a6ad291902fd7c58449fd325e8e64d0d45b704e8f4c453414,true,false,
2,Sha256,Sha256Latency001,node3,observer,http://127.0.0.1:8763,38,38,5060.059834,5053.697321,0.248904,4.626490,5064.686324,5058.323811,4.875394,4.875394,1.618127,0x1dfa30acdf489c5a6ad291902fd7c58449fd325e8e64d0d45b704e8f4c453414,0x1dfa30acdf489c5a6ad291902fd7c58449fd325e8e64d0d45b704e8f4c453414,true,false,
2,Sha256,Sha256Latency001,node4,observer,http://127.0.0.1:8764,38,38,5059.811997,5053.449484,0.001067,4.858622,5064.670619,5058.308106,4.859689,4.859689,1.758479,0x1dfa30acdf489c5a6ad291902fd7c58449fd325e8e64d0d45b704e8f4c453414,0x1dfa30acdf489c5a6ad291902fd7c58449fd325e8e64d0d45b704e8f4c453414,true,false,
2,Sha256,Sha256Latency001,node5,observer,http://127.0.0.1:8765,38,38,5059.811171,5053.448658,0.000241,4.764197,5064.575368,5058.212855,4.764438,4.764438,1.507892,0x1dfa30acdf489c5a6ad291902fd7c58449fd325e8e64d0d45b704e8f4c453414,0x1dfa30acdf489c5a6ad291902fd7c58449fd325e8e64d0d45b704e8f4c453414,true,false,
3,Blake2bSum256,Sum256Latency001,node1,signer,http://127.0.0.1:8761,39,39,5054.342886,5050.675930,0.520049,3.615714,5057.958600,5054.291644,4.135763,4.135763,1.656186,0x5775646cad293129974bf89550cb3c0ff84304ff40189eed61f57dfbdfb4ddc4,0x5775646cad293129974bf89550cb3c0ff84304ff40189eed61f57dfbdfb4ddc4,true,false,
3,Blake2bSum256,Sum256Latency001,node2,observer,http://127.0.0.1:8762,39,39,5054.487512,5050.820556,0.664675,3.080004,5057.567516,5053.900560,3.744679,3.744679,1.279675,0x5775646cad293129974bf89550cb3c0ff84304ff40189eed61f57dfbdfb4ddc4,0x5775646cad293129974bf89550cb3c0ff84304ff40189eed61f57dfbdfb4ddc4,true,false,
3,Blake2bSum256,Sum256Latency001,node3,observer,http://127.0.0.1:8763,39,39,5053.637130,5049.970174,-0.185707,3.364399,5057.001529,5053.334573,3.178692,3.178692,1.389874,0x5775646cad293129974bf89550cb3c0ff84304ff40189eed61f57dfbdfb4ddc4,0x5775646cad293129974bf89550cb3c0ff84304ff40189eed61f57dfbdfb4ddc4,true,false,
3,Blake2bSum256,Sum256Latency001,node4,observer,http://127.0.0.1:8764,39,39,5053.637310,5049.970354,-0.185527,3.291741,5056.929051,5053.262095,3.106214,3.106214,1.384052,0x5775646cad293129974bf89550cb3c0ff84304ff40189eed61f57dfbdfb4ddc4,0x5775646cad293129974bf89550cb3c0ff84304ff40189eed61f57dfbdfb4ddc4,true,false,
3,Blake2bSum256,Sum256Latency001,node5,observer,http://127.0.0.1:8765,39,39,5053.639959,5049.973003,-0.182878,3.308168,5056.948127,5053.281171,3.125290,3.125290,1.527013,0x5775646cad293129974bf89550cb3c0ff84304ff40189eed61f57dfbdfb4ddc4,0x5775646cad293129974bf89550cb3c0ff84304ff40189eed61f57dfbdfb4ddc4,true,false,
4,Pbkdf2Sha256,Pbkdf2Sha256Latency001,node1,signer,http://127.0.0.1:8761,40,40,4852.684838,4847.597367,0.010821,4.482813,4857.167651,4852.080180,4.493634,4.493634,1.755490,0xae4d0c95af6b46d32d0adff928f06dd02a303f8ef3c251dfd6e2d85a95474c43,0xae4d0c95af6b46d32d0adff928f06dd02a303f8ef3c251dfd6e2d85a95474c43,true,false,
4,Pbkdf2Sha256,Pbkdf2Sha256Latency001,node2,observer,http://127.0.0.1:8762,40,40,4852.497277,4847.409806,-0.176740,3.404139,4855.901416,4850.813945,3.227399,3.227399,1.492251,0xae4d0c95af6b46d32d0adff928f06dd02a303f8ef3c251dfd6e2d85a95474c43,0xae4d0c95af6b46d32d0adff928f06dd02a303f8ef3c251dfd6e2d85a95474c43,true,false,
4,Pbkdf2Sha256,Pbkdf2Sha256Latency001,node3,observer,http://127.0.0.1:8763,40,40,4852.578787,4847.491316,-0.095230,4.600767,4857.179554,4852.092083,4.505537,4.505537,2.666779,0xae4d0c95af6b46d32d0adff928f06dd02a303f8ef3c251dfd6e2d85a95474c43,0xae4d0c95af6b46d32d0adff928f06dd02a303f8ef3c251dfd6e2d85a95474c43,true,false,
4,Pbkdf2Sha256,Pbkdf2Sha256Latency001,node4,observer,http://127.0.0.1:8764,40,40,4852.497918,4847.410447,-0.176099,4.951790,4857.449708,4852.362237,4.775691,4.775691,1.660945,0xae4d0c95af6b46d32d0adff928f06dd02a303f8ef3c251dfd6e2d85a95474c43,0xae4d0c95af6b46d32d0adff928f06dd02a303f8ef3c251dfd6e2d85a95474c43,true,false,
4,Pbkdf2Sha256,Pbkdf2Sha256Latency001,node5,observer,http://127.0.0.1:8765,40,40,4853.877092,4848.789621,1.203075,3.376152,4857.253244,4852.165773,4.579227,4.579227,1.558290,0xae4d0c95af6b46d32d0adff928f06dd02a303f8ef3c251dfd6e2d85a95474c43,0xae4d0c95af6b46d32d0adff928f06dd02a303f8ef3c251dfd6e2d85a95474c43,true,false,
5,Dh2048Secret,Dh2048SecretLatency001,node1,signer,http://127.0.0.1:8761,41,41,5057.634723,5052.421327,0.558102,3.764852,5061.399575,5056.186179,4.322954,4.322954,1.666386,0x00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000800000000,0x00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000800000000,true,false,
5,Dh2048Secret,Dh2048SecretLatency001,node2,observer,http://127.0.0.1:8762,41,41,5057.067384,5051.853988,-0.009237,4.439575,5061.506959,5056.293563,4.430338,4.430338,1.515182,0x00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000800000000,0x00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000800000000,true,false,
5,Dh2048Secret,Dh2048SecretLatency001,node3,observer,http://127.0.0.1:8763,41,41,5057.650573,5052.437177,0.573952,3.884139,5061.534712,5056.321316,4.458091,4.458091,1.573338,0x00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000800000000,0x00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000800000000,true,false,
5,Dh2048Secret,Dh2048SecretLatency001,node4,observer,http://127.0.0.1:8764,41,41,5057.492943,5052.279547,0.416322,3.965864,5061.458807,5056.245411,4.382186,4.382186,1.798066,0x00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000800000000,0x00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000800000000,true,false,
