algorithm,round,evocrypt_ms,solidity_ms,precompile_ms
Add,1,0.530600,0.527600,0.478700
Add,2,0.653600,0.479101,0.620900
Add,3,0.599900,0.456500,0.482800
Add,4,0.580000,0.667700,0.466600
Add,5,0.579100,0.672100,0.493600
Add,6,0.538400,0.474600,0.486400
Add,7,0.556000,0.445100,0.480300
Add,8,0.565900,0.504200,0.433700
Add,9,0.552200,0.466000,0.534300
Add,10,0.572100,0.482500,0.465600
Add,11,0.550000,0.493700,0.486901
Add,12,0.525500,0.473100,0.461500
Add,13,0.544900,0.489800,0.471200
Add,14,0.514101,0.443700,0.471900
Add,15,0.557600,0.493500,0.480000
Add,16,0.595500,0.447600,0.476600
Add,17,0.528300,0.481900,0.450700
Add,18,0.498800,0.422600,0.451400
Add,19,0.524600,0.435500,0.479500
Add,20,0.534500,0.472500,0.501900
Sha256,1,1.063000,0.466200,0.461700
Sha256,2,1.038000,0.503100,0.447600
Sha256,3,0.924299,0.525700,0.470000
Sha256,4,0.933600,0.465100,0.463500
Sha256,5,1.087900,0.463200,0.461599
Sha256,6,0.939900,0.467400,0.464000
Sha256,7,0.659700,0.502599,0.535100
Sha256,8,0.545900,0.523400,0.486200
Sha256,9,0.552600,0.521400,0.431200
Sha256,10,0.584400,0.480400,0.441500
Sha256,11,0.690500,0.477200,0.437700
Sha256,12,0.523099,0.472700,0.474300
Sha256,13,0.553700,0.459400,0.604900
Sha256,14,0.568000,0.471200,0.612700
Sha256,15,0.655200,0.498100,0.475700
Sha256,16,0.523300,0.464200,0.510800
Sha256,17,0.529900,0.461700,0.460000
Sha256,18,0.574400,0.584400,0.441600
Sha256,19,0.578100,0.526300,0.500999
Sha256,20,0.560100,0.516000,0.496100
Blake2bSum256,1,0.559000,0.744100,0.478100
Blake2bSum256,2,0.536200,0.778200,0.510900
Blake2bSum256,3,0.503000,0.787500,0.478900
Blake2bSum256,4,0.509600,0.715199,0.471899
Blake2bSum256,5,0.525899,0.740800,0.484700
Blake2bSum256,6,0.561900,0.741300,0.453700
Blake2bSum256,7,0.514200,0.736100,0.415200
Blake2bSum256,8,0.544200,0.744700,0.459400
Blake2bSum256,9,0.569700,0.716100,0.490600
Blake2bSum256,10,0.509500,0.728200,0.467900
Blake2bSum256,11,0.530000,0.745100,0.456800
Blake2bSum256,12,0.522900,0.723700,0.421600
Blake2bSum256,13,0.490400,0.738199,0.457500
Blake2bSum256,14,0.542100,0.836600,0.454300
Blake2bSum256,15,0.619700,0.919400,0.501600
Blake2bSum256,16,0.568700,1.083800,0.465900
Blake2bSum256,17,0.570399,0.824300,0.469700
Blake2bSum256,18,0.542200,0.849800,0.469600
Blake2bSum256,19,0.582300,0.840400,0.502899
Blake2bSum256,20,0.540700,0.766500,0.504500
Pbkdf2Sha256,1,1.957800,0.733500,0.529900
Pbkdf2Sha256,2,1.728800,0.974100,0.530600
Pbkdf2Sha256,3,1.873000,0.749900,0.518700
Pbkdf2Sha256,4,1.547200,0.784800,0.522200
Pbkdf2Sha256,5,1.426600,0.929500,0.510200
Pbkdf2Sha256,6,1.649199,0.912200,0.575100
Pbkdf2Sha256,7,1.515500,0.794700,0.541499
Pbkdf2Sha256,8,1.619400,0.767499,0.546400
Pbkdf2Sha256,9,1.638200,0.722500,0.533700
Pbkdf2Sha256,10,0.786100,0.690400,0.526200
Pbkdf2Sha256,11,0.788900,0.718400,0.505800
Pbkdf2Sha256,12,0.705500,0.754700,0.550200
Pbkdf2Sha256,13,0.643300,0.780400,0.554200
Pbkdf2Sha256,14,0.673499,0.738100,0.515900
Pbkdf2Sha256,15,0.637500,0.740400,0.497900
Pbkdf2Sha256,16,0.602500,0.760800,0.496000
Pbkdf2Sha256,17,0.694100,0.805300,0.911800
Pbkdf2Sha256,18,0.677800,0.771900,0.759900
Pbkdf2Sha256,19,0.683400,0.758200,0.624600
Pbkdf2Sha256,20,0.703300,0.714800,0.596700
Dh2048Secret,1,2.374000,1.508700,0.486100
Dh2048Secret,2,2.389800,1.586200,0.519800
Dh2048Secret,3,1.532001,1.423200,0.504700
Dh2048Secret,4,1.258800,1.605700,0.580900
Dh2048Secret,5,1.202200,1.593900,0.567400
Dh2048Secret,6,1.255100,1.515500,0.530200
Dh2048Secret,7,1.510000,1.477600,0.509200
Dh2048Secret,8,1.251600,1.403400,0.487400
Dh2048Secret,9,1.232800,1.406600,0.541200
Dh2048Secret,10,1.235500,1.440400,0.479700
Dh2048Secret,11,1.195200,1.415900,0.761200
Dh2048Secret,12,1.278500,35.673402,0.910600
Dh2048Secret,13,1.251800,1.599600,0.513500
Dh2048Secret,14,1.062100,1.544900,0.504100
Dh2048Secret,15,1.052700,1.520200,0.486400
Dh2048Secret,16,1.152100,1.498400,0.477500
Dh2048Secret,17,1.469500,1.445200,0.514900
Dh2048Secret,18,1.332500,1.439700,0.512200
Dh2048Secret,19,1.267500,1.440600,0.480300
Dh2048Secret,20,1.191400,1.382801,0.512500
PedersenCommit,1,3.683501,4.669101,0.502101
PedersenCommit,2,2.315500,6.005401,0.537300
PedersenCommit,3,2.091201,4.254301,0.475000
PedersenCommit,4,1.961000,4.003800,0.469600
PedersenCommit,5,1.959000,3.419501,0.482400
PedersenCommit,6,1.525201,3.554900,0.529200
PedersenCommit,7,1.466300,3.422101,0.516700
PedersenCommit,8,1.393800,3.153600,0.491700
PedersenCommit,9,1.599100,50.162309,0.665600
PedersenCommit,10,1.753401,4.795700,0.678100
PedersenCommit,11,50.414408,4.452501,0.585800
PedersenCommit,12,2.118300,4.496901,0.513900
PedersenCommit,13,2.074801,4.374600,43.359408
PedersenCommit,14,1.921400,4.614001,1.016500
PedersenCommit,15,1.981000,4.523201,0.974300
PedersenCommit,16,1.858401,3.055200,0.884100
PedersenCommit,17,1.904100,3.020801,0.896100
PedersenCommit,18,1.983100,2.882100,0.966000
PedersenCommit,19,2.005000,2.793501,0.859200
PedersenCommit,20,1.952201,2.912100,0.887801
SchnorrVerify,1,825.674047,5.728199,1.951199
SchnorrVerify,2,684.212839,6.383399,1.676600
SchnorrVerify,3,423.465325,8.163798,1.602700
SchnorrVerify,4,489.609928,5.713900,1.501200
SchnorrVerify,5,385.783822,5.520999,1.539999
SchnorrVerify,6,328.964518,8.410099,1.555800
SchnorrVerify,7,468.025127,69.141889,1.536400
SchnorrVerify,8,506.281929,21.396697,1.546800
SchnorrVerify,9,530.802130,71.037189,1.500499
SchnorrVerify,10,571.803100,20.133397,1.471500
SchnorrVerify,11,603.631109,11.373098,1.501700
SchnorrVerify,12,496.668925,61.178891,1.436200
SchnorrVerify,13,585.110411,7.950199,1.485200
SchnorrVerify,14,420.486337,8.298999,1.489099
SchnorrVerify,15,596.193210,9.299398,1.511400
SchnorrVerify,16,626.839605,8.757899,1.461900
SchnorrVerify,17,597.814110,8.684999,1.550100
SchnorrVerify,18,380.720942,6.877099,1.602999
SchnorrVerify,19,610.492108,54.682891,44.145994
SchnorrVerify,20,909.941762,5.633099,2.519799
