algorithm,scheme,mean_ms,p50_ms,p95_ms,min_ms,max_ms,gas_estimate,samples,warmup,output_matched
Add,EvoCrypt,0.555080,0.550000,0.599900,0.498800,0.653600,25408,20,10,True
Add,Solidity,0.491465,0.474600,0.667700,0.422600,0.672100,21736,20,10,True
Add,Precompile,0.483725,0.478700,0.534300,0.433700,0.620900,24739,20,10,True
Sha256,EvoCrypt,0.704279,0.578100,1.063000,0.523099,1.087900,25801,20,10,True
Sha256,Solidity,0.492484,0.477200,0.526300,0.459400,0.584400,22846,20,10,True
Sha256,Precompile,0.483859,0.464000,0.604900,0.431200,0.612700,25156,20,10,True
Blake2bSum256,EvoCrypt,0.542129,0.540700,0.582300,0.490400,0.619700,25801,20,10,True
Blake2bSum256,Solidity,0.787999,0.744700,0.919400,0.715199,1.083800,113059,20,10,True
Blake2bSum256,Precompile,0.470784,0.469600,0.504500,0.415200,0.510900,25156,20,10,True
Pbkdf2Sha256,EvoCrypt,1.127579,0.786100,1.873000,0.602500,1.957800,48522,20,10,True
Pbkdf2Sha256,Solidity,0.780104,0.758200,0.929500,0.690400,0.974100,93643,20,10,True
Pbkdf2Sha256,Precompile,0.567374,0.530600,0.759900,0.496000,0.911800,52880,20,10,True
Dh2048Secret,EvoCrypt,1.374755,1.251800,2.374000,1.052700,2.389800,226586,20,10,True
Dh2048Secret,Solidity,3.196095,1.477600,1.605700,1.382801,35.673402,378560,20,10,True
Dh2048Secret,Precompile,0.543990,0.512200,0.761200,0.477500,0.910600,251877,20,10,True
PedersenCommit,EvoCrypt,4.398035,1.959000,3.683501,1.393800,50.414408,225695,20,10,True
PedersenCommit,Solidity,6.228281,4.003800,6.005401,2.793501,50.162309,853145,20,10,True
PedersenCommit,Precompile,2.814540,0.585800,1.016500,0.469600,43.359408,236863,20,10,True
SchnorrVerify,EvoCrypt,552.126064,530.802130,825.674047,328.964518,909.941762,229437,20,10,True
SchnorrVerify,Solidity,20.218306,8.410099,69.141889,5.520999,71.037189,2301691,20,10,True
SchnorrVerify,Precompile,3.729354,1.536400,2.519799,1.436200,44.145994,286970,20,10,True
