panel,metric,algorithm,scheme_or_stage,value,unit
a,submit_to_all_complete_ms,Add,end_to_end,4857.924031,ms
a,event_to_all_complete_ms,Add,post_event_ready,3.258393,ms
a,submit_to_all_complete_ms,Sha256,end_to_end,5064.686324,ms
a,event_to_all_complete_ms,Sha256,post_event_ready,4.875394,ms
a,submit_to_all_complete_ms,Blake2bSum256,end_to_end,5057.9586,ms
a,event_to_all_complete_ms,Blake2bSum256,post_event_ready,4.135763,ms
a,submit_to_all_complete_ms,Pbkdf2Sha256,end_to_end,4857.449708,ms
a,event_to_all_complete_ms,Pbkdf2Sha256,post_event_ready,4.775691,ms
a,submit_to_all_complete_ms,Dh2048Secret,end_to_end,5061.534712,ms
a,event_to_all_complete_ms,Dh2048Secret,post_event_ready,4.458091,ms
a,submit_to_all_complete_ms,PedersenCommit,end_to_end,4914.794457,ms
a,event_to_all_complete_ms,PedersenCommit,post_event_ready,60.851659,ms
a,submit_to_all_complete_ms,SchnorrVerify,end_to_end,5342.200813,ms
a,event_to_all_complete_ms,SchnorrVerify,post_event_ready,287.298203,ms
b,mean_eth_call_latency_ms,Add,upgrade,1.080844,ms
c,eth_estimateGas,Add,upgrade,25408.0,gas
b,mean_eth_call_latency_ms,Add,contract,0.879949,ms
c,eth_estimateGas,Add,contract,21736.0,gas
b,mean_eth_call_latency_ms,Add,precompile,0.884838,ms
c,eth_estimateGas,Add,precompile,24739.0,gas
b,mean_eth_call_latency_ms,Sha256,upgrade,1.00209,ms
c,eth_estimateGas,Sha256,upgrade,25801.0,gas
b,mean_eth_call_latency_ms,Sha256,contract,0.867547,ms
c,eth_estimateGas,Sha256,contract,22846.0,gas
b,mean_eth_call_latency_ms,Sha256,precompile,0.979316,ms
c,eth_estimateGas,Sha256,precompile,25156.0,gas
b,mean_eth_call_latency_ms,Blake2bSum256,upgrade,1.045821,ms
c,eth_estimateGas,Blake2bSum256,upgrade,25801.0,gas
b,mean_eth_call_latency_ms,Blake2bSum256,contract,1.417825,ms
c,eth_estimateGas,Blake2bSum256,contract,113059.0,gas
b,mean_eth_call_latency_ms,Blake2bSum256,precompile,0.868157,ms
c,eth_estimateGas,Blake2bSum256,precompile,25156.0,gas
b,mean_eth_call_latency_ms,Pbkdf2Sha256,upgrade,1.288086,ms
c,eth_estimateGas,Pbkdf2Sha256,upgrade,48522.0,gas
b,mean_eth_call_latency_ms,Pbkdf2Sha256,contract,1.370383,ms
c,eth_estimateGas,Pbkdf2Sha256,contract,93643.0,gas
b,mean_eth_call_latency_ms,Pbkdf2Sha256,precompile,1.013204,ms
c,eth_estimateGas,Pbkdf2Sha256,precompile,52880.0,gas
b,mean_eth_call_latency_ms,Dh2048Secret,upgrade,1.669938,ms
c,eth_estimateGas,Dh2048Secret,upgrade,226586.0,gas
b,mean_eth_call_latency_ms,Dh2048Secret,contract,2.37006,ms
c,eth_estimateGas,Dh2048Secret,contract,378560.0,gas
b,mean_eth_call_latency_ms,Dh2048Secret,precompile,0.984351,ms
c,eth_estimateGas,Dh2048Secret,precompile,251877.0,gas
b,mean_eth_call_latency_ms,PedersenCommit,upgrade,1.875863,ms
c,eth_estimateGas,PedersenCommit,upgrade,225695.0,gas
b,mean_eth_call_latency_ms,PedersenCommit,contract,3.549043,ms
c,eth_estimateGas,PedersenCommit,contract,853145.0,gas
b,mean_eth_call_latency_ms,PedersenCommit,precompile,0.884988,ms
c,eth_estimateGas,PedersenCommit,precompile,236863.0,gas
b,mean_eth_call_latency_ms,SchnorrVerify,upgrade,188.600367,ms
c,eth_estimateGas,SchnorrVerify,upgrade,229437.0,gas
b,mean_eth_call_latency_ms,SchnorrVerify,contract,6.424933,ms
c,eth_estimateGas,SchnorrVerify,contract,2301691.0,gas
b,mean_eth_call_latency_ms,SchnorrVerify,precompile,1.946447,ms
c,eth_estimateGas,SchnorrVerify,precompile,286970.0,gas
